0x5d ConvertRace
0x710 LeaderboardSetValueColor
0x711 LeaderboardSetStyle
0x716 LeaderboardSetItemValue
0x718 LeaderboardSetItemLabel
0x719 LeaderboardSetItemStyle
0x71c LeaderboardSetItemLabelColor
0x71d LeaderboardSetItemValueColor
0x71e CreateMultiboard
0x71f DestroyMultiboard
0x720 MultiboardDisplay
0x721 IsMultiboardDisplayed
0x722 MultiboardMinimize
0x724 IsMultiboardMinimized
0x725 MultiboardClear
0x726 MultiboardSetTitleText
0x727 MultiboardGetTitleText
0x728 MultiboardSetTitleTextColor
0x729 MultiboardGetRowCount
0x72a MultiboardGetColumnCount
0x72b MultiboardSetColumnCount
0x72c MultiboardSetRowCount
0x72d MultiboardSetItemsStyle
0x72e MultiboardSetItemsValue
0x72f MultiboardSetItemsValueColor
0x730 MultiboardSetItemsWidth
0x731 MultiboardSetItemsIcon
0x732 MultiboardGetItem
0x735 MultiboardReleaseItem
0x737 MultiboardSetItemStyle
0x738 MultiboardSetItemValue
0x739 MultiboardSetItemValueColor
0x73a MultiboardSetItemWidth
0x73b MultiboardSetItemIcon
0x73d MultiboardSuppressDisplay
0x73e SetCameraPosition
0x73f SetCameraQuickPosition
0x740 SetCameraBounds
0x749 StopCamera
0x74a ResetToGameCamera
0x74b PanCameraTo
0x74c PanCameraToTimed
0x74d PanCameraToWithZ
0x74f PanCameraToTimedWithZ
0x750 SetCinematicCamera
0x752 SetCameraRotateMode
0x754 SetCameraField
0x756 AdjustCameraField
0x757 SetCameraTargetController
0x75b SetCameraOrientController
0x75c CreateCameraSetup
0x75d CameraSetupSetField
0x75f CameraSetupGetField
0x760 CameraSetupSetDestPosition
0x761 CameraSetupGetDestPositionLoc
0x762 CameraSetupGetDestPositionX
0x763 CameraSetupGetDestPositionY
0x764 CameraSetupApply
0x767 CameraSetupApplyWithZ
0x769 CameraSetupApplyForceDuration
0x76b CameraSetupApplyForceDurationWithZ
0x76c CameraSetTargetNoise
0x76f CameraSetSourceNoise
0x770 CameraSetTargetNoiseEx
0x772 CameraSetSourceNoiseEx
0x773 CameraSetSmoothingFactor
0x775 SetCineFilterTexture
0x777 SetCineFilterBlendMode
0x779 SetCineFilterTexMapFlags
0x77b SetCineFilterStartUV
0x780 SetCineFilterEndUV
0x781 SetCineFilterStartColor
0x782 SetCineFilterEndColor
0x783 SetCineFilterDuration
0x784 DisplayCineFilter
0x785 IsCineFilterDisplayed
0x786 SetCinematicScene
0x78c EndCinematicScene
0x78d ForceCinematicSubtitles
0x78e GetCameraMargin
0x790 GetCameraBoundMinX
0x791 GetCameraBoundMinY
0x792 GetCameraBoundMaxX
0x793 GetCameraBoundMaxY
0x794 GetCameraField
0x795 GetCameraTargetPositionX
0x796 GetCameraTargetPositionY
0x797 GetCameraTargetPositionZ
0x798 GetCameraTargetPositionLoc
0x799 GetCameraEyePositionX
0x79a GetCameraEyePositionY
0x79b GetCameraEyePositionZ
0x79c GetCameraEyePositionLoc
0x79d NewSoundEnvironment
0x79f CreateSound
0x7a7 CreateSoundFilenameWithLabel
0x7a9 CreateSoundFromLabel
0x7ab CreateMIDISound
0x7ac SetSoundParamsFromLabel
0x7ae SetSoundDistanceCutoff
0x7b0 SetSoundChannel
0x7b2 SetSoundVolume
0x7b4 SetSoundPitch
0x7b6 SetSoundPlayPosition
0x7b8 SetSoundDistances
0x7bb SetSoundConeAngles
0x7bf SetSoundConeOrientation
0x7c0 SetSoundPosition
0x7c1 SetSoundVelocity
0x7c2 AttachSoundToUnit
0x7c3 StartSound
0x7c4 StopSound
0x7c7 KillSoundWhenDone
0x7c8 SetMapMusic
0x7cb ClearMapMusic
0x7cc PlayMusic
0x7cd PlayMusicEx
0x7d0 StopMusic
0x7d1 ResumeMusic
0x7d2 PlayThematicMusic
0x7d4 PlayThematicMusicEx
0x7d5 EndThematicMusic
0x7d6 SetMusicVolume
0x7d7 SetMusicPlayPosition
0x7d8 SetThematicMusicPlayPosition
0x7d9 SetSoundDuration
0x7da GetSoundDuration
0x7db GetSoundFileDuration
0x7dc VolumeGroupSetVolume
0x7de VolumeGroupReset
0x7df GetSoundIsPlaying
0x7e0 GetSoundIsLoading
0x7e1 RegisterStackedSound
0x7e5 UnregisterStackedSound
0x7e6 AddWeatherEffect
0x7e8 RemoveWeatherEffect
0x7e9 EnableWeatherEffect
0x7ea TerrainDeformCrater
0x7ec TerrainDeformRipple
0x7f1 TerrainDeformWave
0x7f6 TerrainDeformRandom
0x7fa TerrainDeformStop
0x7fc TerrainDeformStopAll
0x7fd AddSpecialEffect
0x7fe AddSpecialEffectLoc
0x7ff AddSpecialEffectTarget
0x801 DestroyEffect
0x802 AddSpellEffect
0x804 AddSpellEffectLoc
0x805 AddSpellEffectById
0x806 AddSpellEffectByIdLoc
0x807 AddSpellEffectTarget
0x809 AddSpellEffectTargetById
0x80a AddLightning
0x80d AddLightningEx
0x810 DestroyLightning
0x812 MoveLightning
0x813 MoveLightningEx
0x814 GetLightningColorA
0x815 GetLightningColorR
0x816 GetLightningColorG
0x817 GetLightningColorB
0x818 SetLightningColor
0x819 GetAbilityEffect
0x81a GetAbilityEffectById
0x81b GetAbilitySound
0x81c GetAbilitySoundById
0x81d GetTerrainCliffLevel
0x81e SetWaterBaseColor
0x81f SetWaterDeforms
0x820 GetTerrainType
0x821 GetTerrainVariance
0x822 SetTerrainType
0x826 IsTerrainPathable
0x827 SetTerrainPathable
0x828 CreateImage
0x834 DestroyImage
0x835 ShowImage
0x836 SetImageConstantHeight
0x837 SetImagePosition
0x838 SetImageColor
0x839 SetImageRender
0x83a SetImageRenderAlways
0x83b SetImageAboveWater
0x83d SetImageType
0x83e CreateUbersplat
0x841 DestroyUbersplat
0x843 ResetUbersplat
0x844 FinishUbersplat
0x845 ShowUbersplat
0x846 SetUbersplatRender
0x847 SetUbersplatRenderAlways
0x848 SetBlight
0x84a SetBlightRect
0x84b SetBlightPoint
0x84c SetBlightLoc
0x84d CreateBlightedGoldmine
0x84e IsPointBlighted
0x84f SetDoodadAnimation
0x854 SetDoodadAnimationRect
0x855 StartMeleeAI
0x858 StartCampaignAI
0x859 CommandAI
0x85b PauseCompAI
0x85d GetAIDifficulty
0x85e RemoveGuardPosition
0x860 RecycleGuardPosition
0x861 RemoveAllGuardPositions
0x862 Cheat
0x864 IsNoVictoryCheat
0x865 IsNoDefeatCheat
0x866 Preload
0x867 PreloadEnd
0x868 PreloadStart
0x869 PreloadRefresh
0x86a PreloadEndEx
0x86b PreloadGenClear
0x86c PreloadGenStart
0x86d PreloadGenEnd
0x86e Preloader
